R,dv
3.650990000000000180e+00,2.308450661668058601e+05
3.715430000000000010e+00,2.494772198362908675e+05
3.780390000000000139e+00,2.272076101850591367e+05
3.867799999999999905e+00,2.246316621949737892e+05
3.967239999999999878e+00,2.031226106372034701e+05
4.067870000000000097e+00,1.994741354751244071e+05
4.169730000000000381e+00,1.696198533521739591e+05
4.272820000000000285e+00,1.470740804763699416e+05
4.377169999999999561e+00,1.272358828172388166e+05
4.459220000000000184e+00,1.164996100951917178e+05
4.530179999999999652e+00,1.076310843061026535e+05
4.601720000000000255e+00,1.002757392196411092e+05
